@relation desenhos

@attribute vermelho_topete_pica_pau real
@attribute amarelo_bico_pica_pau real
@attribute azul_corpo_pica_pau real
@attribute amarelo_pe_pica_pau real
@attribute laranja_bico_xe_urubu real
@attribute preto_corpo_zeca_urubu real
@attribute verde_calca_zeca_urubu real
@attribute laranja_pe_zeca_urubu real
@attribute classe {pica_pau, zeca_urubu}

@data
0.1453993,1.7745227,3.8144534,0.0022786458,0.15201822,12.430448,1.5516493,0.018554688,pica_pau
0.05762543,0.1112767,1.0094386,0.0,0.015896672,1.8241432,0.023845008,0.001987084,pica_pau
0.06615436,0.45038426,0.004677581,0.039425325,0.027731372,4.913799,1.9011027,0.20514533,pica_pau
0.03546988,0.0053975903,0.08751807,0.2313253,0.1326265,3.3858314,0.52819276,0.3712771,pica_pau
0.08888889,0.053333335,2.911605,0.16,0.12049383,0.85530865,0.40098763,0.61827165,pica_pau
0.57877606,1.937717,0.030707465,0.0,2.1679688,2.717882,0.20366754,0.0,pica_pau
0.06445482,3.3333018,0.0,3.214978,0.008468516,3.9021041,0.008468516,0.0061161504,pica_pau
0.07952602,0.0,0.0,0.0,0.24255437,21.63903,0.9085848,0.03181041,pica_pau
0.63998413,38.377254,1.077868,6.681196,0.19219339,0.21200714,0.28928077,8.84684,pica_pau
0.0,0.0,0.0,0.0,0.0,0.7754712,1.1472998,0.0,pica_pau
0.37698412,0.035714284,0.06349206,0.33531746,0.10912699,2.6646824,0.46428573,0.115079366,pica_pau
0.019104695,0.5687165,0.038410492,0.49631983,0.35836384,5.7812815,1.7566264,0.99847156,pica_pau
0.016203703,0.004050926,0.0,0.0,0.14293982,5.6984954,0.21527778,0.12847222,pica_pau
0.017857142,0.0,0.09325397,0.0,0.027777778,16.251984,0.8571428,0.0019841269,pica_pau
0.12979591,1.6612245,0.29006803,1.7659863,0.69659865,0.056870747,0.1567347,0.19537416,pica_pau
0.0062845657,0.0034279444,0.010855158,0.0,0.721868,4.5691648,0.4139243,0.90497744,pica_pau
0.0,0.0,1.1600649,0.0,1.7957792,0.006493506,0.001948052,0.29967532,pica_pau
0.0,0.0,3.789314E-4,2.2796514,0.0,0.7817355,0.13717318,0.044713907,pica_pau
1.028635,1.8150046,0.057587672,1.2550141,1.7137296,0.46665874,0.059573453,2.083085,pica_pau
0.079318576,0.0044487845,0.4393446,0.0015190972,0.054904517,0.029513888,0.06738281,0.12879774,pica_pau
0.5192873,1.2718288,2.2252135,1.8067019,0.80514324,2.6012187,0.068010345,1.6010768,pica_pau
0.20084926,3.081741,0.0685775,0.0,1.4919322,0.6314225,0.19171976,1.6042464,pica_pau
0.5448718,1.8076923,0.0,3.7072651,1.3055556,2.5405982,0.034188032,2.130342,pica_pau
0.15128455,0.1374686,5.7686152,0.16625181,0.028552942,0.68388903,0.12572505,0.03546091,pica_pau
0.10454545,0.23757575,0.57878786,0.430303,0.044848483,3.7706063,0.03212121,0.088484846,pica_pau
0.4646962,0.7011494,0.0049261088,0.0,0.13957307,1.4811165,0.41707718,0.0,pica_pau
0.6372549,9.803922E-4,9.803922E-4,0.0,0.037254903,0.008823529,0.07156863,0.06862745,pica_pau
0.12541254,0.5792079,0.9653465,0.090759076,0.56765676,3.7178218,0.17161717,1.0264026,pica_pau
0.67261904,0.2579365,0.0,0.16865079,0.21626984,2.767857,0.36904764,0.37301588,zeca_urubu
0.36147186,3.181818,0.0,2.2229438,0.5887446,6.4112554,5.021645,0.40909088,zeca_urubu
0.7150617,1.7441975,0.0,0.94419754,0.19950618,1.5071605,1.5249382,0.14024691,zeca_urubu
1.1957166,1.4966933,0.0,0.53438705,1.4250323,3.7529945,2.1334534,0.5937635,zeca_urubu
0.3559028,0.11111111,0.0034722222,0.0034722222,1.6996527,13.586805,6.1128473,0.8315972,zeca_urubu
0.0,0.0,0.037813954,0.023882499,1.3831947,7.0692196,0.20499143,0.51944435,zeca_urubu
0.0,0.0,0.0,0.0,0.6805555,3.590278,1.1284722,0.30555555,zeca_urubu
0.0,0.0,0.0,0.0,0.0,0.01099537,2.3026621,0.0,zeca_urubu
0.0,0.0,0.0,0.0,0.0014005603,6.2441645,0.020074695,0.0,zeca_urubu
0.15523623,1.9742866,0.0039804163,2.0300124,0.33236477,3.259961,0.12339291,0.33435497,zeca_urubu
0.01063368,0.0047743055,0.17903647,2.1701389E-4,0.7681207,1.4569228,0.44346786,0.008897569,zeca_urubu
0.0,0.0,0.0,0.0,2.7757938,4.7797623,0.56150794,1.7698413,zeca_urubu
0.18906978,0.04378458,0.0,0.0,0.037813954,14.504637,0.8498189,0.0,zeca_urubu
0.0,0.0,0.0,0.0,0.0,20.384089,1.891757,0.0,zeca_urubu
0.2937077,0.0,0.0,0.0,0.0,8.946884,2.813869,0.0,zeca_urubu
0.0,0.0,0.0,0.0,1.2664931,5.6469183,0.105902776,0.009331598,zeca_urubu
0.08272109,0.0068027214,0.0,0.0,1.272381,4.9224486,0.18013605,0.0,zeca_urubu
0.0,0.0,0.32248265,0.0,0.0,0.73817277,1.2811415,0.0,zeca_urubu
0.32142857,0.0,0.017857142,0.0,0.3531746,24.678572,0.35119048,0.055555556,zeca_urubu
0.0,0.0,0.0,0.0,0.9114583,5.5538197,0.296875,0.24131943,zeca_urubu
0.0,0.0,1.2956349,0.027777778,0.24603175,2.2301588,1.577381,0.67261904,zeca_urubu
0.0,0.0,0.0,0.0,0.48000002,9.564445,0.62814814,0.0,zeca_urubu
0.28769842,0.08730158,0.0,0.0,1.7242063,13.073413,6.093254,0.80357146,zeca_urubu
0.42187503,0.0,0.0,0.0,0.0034375,0.01671875,0.39765626,0.010625,zeca_urubu
0.60221785,7.592433,0.0,0.0,1.1031964,3.3896935,0.47410306,0.0,zeca_urubu
0.0,0.0,0.0,0.0,0.0,3.4066553,3.6350818,0.0,zeca_urubu
0.675367,2.910037,0.0,0.0,0.73694456,3.1146336,2.000278,0.29795602,zeca_urubu
0.0,0.0,0.0,0.0,0.0,28.745636,5.831615,0.0,zeca_urubu
0.0019860973,0.0,0.0,0.0,0.36146972,0.2303873,0.24627608,0.0,zeca_urubu
